IP,Port,Protocol,Country,Anonymity,Speed (s),Last Checked
83.168.74.163,8080,http,,unknown,0.81,2025-05-18 17:02:43 UTC
79.110.201.235,8081,http,,unknown,0.74,2025-05-18 17:02:42 UTC
78.80.228.150,80,http,,unknown,0.62,2025-05-18 17:02:42 UTC
119.3.113.151,9094,http,,unknown,1.10,2025-05-18 17:02:43 UTC
135.181.154.225,80,http,,unknown,1.35,2025-05-18 17:02:43 UTC
79.110.200.27,8000,http,,unknown,0.59,2025-05-18 17:02:42 UTC
119.3.113.152,9094,http,,unknown,0.80,2025-05-18 17:02:43 UTC
123.30.154.171,7777,http,,unknown,0.92,2025-05-18 17:02:43 UTC
159.203.61.169,3128,http,,unknown,0.55,2025-05-18 17:02:43 UTC
83.168.72.172,8081,http,,unknown,0.57,2025-05-18 17:02:43 UTC
115.127.31.66,8080,http,,unknown,0.99,2025-05-18 17:02:43 UTC
59.53.80.122,10024,http,,unknown,0.80,2025-05-18 17:02:44 UTC
47.56.110.204,8989,http,,unknown,0.75,2025-05-18 17:02:44 UTC
103.10.231.189,8080,http,,unknown,1.13,2025-05-18 17:02:45 UTC
95.66.244.250,8080,http,,unknown,0.67,2025-05-18 17:02:45 UTC
80.249.112.162,80,http,,unknown,0.53,2025-05-18 17:02:45 UTC
185.105.102.189,80,http,,unknown,0.88,2025-05-18 17:02:45 UTC
218.77.183.214,5224,http,,unknown,1.04,2025-05-18 17:02:46 UTC
101.132.222.120,80,http,,unknown,0.75,2025-05-18 17:02:46 UTC
203.19.38.114,1080,http,,unknown,0.98,2025-05-18 17:02:46 UTC
84.39.112.144,3128,http,,unknown,0.51,2025-05-18 17:02:46 UTC
23.247.136.248,80,http,,unknown,1.15,2025-05-18 17:02:47 UTC
176.223.95.213,8080,http,,unknown,0.66,2025-05-18 17:02:47 UTC
194.183.190.10,8080,http,,unknown,0.81,2025-05-18 17:02:47 UTC
93.119.21.81,8080,http,,unknown,0.64,2025-05-18 17:02:47 UTC
38.250.126.201,999,http,,unknown,0.60,2025-05-18 17:02:47 UTC
57.129.81.201,3128,http,,unknown,1.60,2025-05-18 17:02:48 UTC
